order_id,order_date,customer_name,region,category,sub_category,sales,quantity,discount,profit
ORD-300202,2024-03-21,Tiffany Donovan,Central,Office Supplies,Storage,875.77,6,0.0,210.18
ORD-300203,2023-12-31,Laura Ford,Central,Office Supplies,Storage,807.32,7,0.03,169.54
ORD-300204,2024-10-02,Brandon Howard,South,Technology,Phones,550.5,3,0.03,115.6
ORD-300205,2026-01-07,Deborah Lucero,South,Technology,Copiers,1278.18,6,0.03,268.42
ORD-300206,2023-10-21,Heather White,South,Furniture,Bookcases,502.79,8,0.07,85.47
ORD-300207,2025-11-08,Angela Fitzgerald,Central,Technology,Copiers,833.44,1,0.03,175.02
ORD-300208,2024-12-28,David Larsen,East,Furniture,Chairs,422.82,1,0.1,59.19
ORD-300209,2025-03-13,Cassie Gonzalez,South,Furniture,Chairs,689.2,9,0.03,144.73
ORD-300210,2024-02-05,Steven Russell,West,Office Supplies,Storage,774.4,4,0.0,185.86
ORD-300211,2024-06-25,Kathryn Herrera,East,Furniture,Tables,62.92,8,0.0,15.1
ORD-300212,2025-10-31,Bonnie Sanchez,South,Technology,Accessories,409.65,8,0.0,98.32
ORD-300213,2025-11-14,Dawn Parker,West,Office Supplies,Paper,130.42,3,0.07,22.17
ORD-300214,2024-07-19,Edward Brown,East,Technology,Accessories,944.19,10,0.0,226.61
ORD-300215,2025-05-11,Eric Austin,South,Furniture,Chairs,512.87,9,0.0,123.09
ORD-300216,2024-10-01,Nathan Brock,South,Technology,Phones,797.99,6,0.0,191.52
ORD-300217,2024-12-03,Christine Johnson,West,Technology,Copiers,365.37,6,0.1,51.15
ORD-300218,2025-05-07,Zachary Rowe,West,Furniture,Bookcases,951.62,1,0.07,161.78
ORD-300219,2024-12-22,Steven Miller,West,Furniture,Tables,276.51,5,0.07,47.01
ORD-300220,2025-08-21,Yolanda Reynolds,Central,Technology,Copiers,259.59,8,0.0,62.3
ORD-300221,2025-09-27,Julie Olson,West,Technology,Copiers,259.8,10,0.0,62.35
ORD-300222,2023-11-26,Nancy Mckenzie,Central,Technology,Accessories,803.06,2,0.1,112.43
ORD-300223,2024-12-09,Patrick Strong,South,Technology,Phones,1087.23,1,0.0,260.94
ORD-300224,2023-07-19,Manuel Palmer,Central,Technology,Phones,520.33,10,0.1,72.85
ORD-300225,2025-03-12,Rachel Wilson,East,Office Supplies,Storage,167.14,1,0.03,35.1
ORD-300226,2024-03-10,Anthony Tran,Central,Office Supplies,Paper,830.74,4,0.1,116.3
ORD-300227,2026-01-10,Andrea Morgan,South,Office Supplies,Storage,955.71,3,0.07,162.47
ORD-300228,2025-03-18,Aimee Anderson,South,Furniture,Chairs,1248.29,10,0.07,212.21
ORD-300229,2024-12-06,Lee Robertson III,West,Furniture,Chairs,516.11,10,0.07,87.74
ORD-300230,2025-12-10,Melissa Jackson,South,Furniture,Chairs,994.39,9,0.07,169.05
ORD-300231,2023-10-28,Nicole Diaz,East,Furniture,Chairs,1150.92,1,0.03,241.69
ORD-300232,2024-03-26,Robyn Stevenson,South,Technology,Accessories,1209.44,9,0.1,169.32
ORD-300233,2024-03-04,Tiffany Bridges,West,Technology,Accessories,898.77,10,0.0,215.7
ORD-300234,2024-07-16,Donna Rogers,South,Office Supplies,Storage,1111.01,7,0.1,155.54
ORD-300235,2024-04-30,Samantha Martinez,Central,Technology,Phones,504.95,3,0.03,106.04
ORD-300236,2024-01-15,Jessica Reid,Central,Technology,Copiers,966.84,9,0.1,135.36
ORD-300237,2025-02-05,Jacqueline Mclaughlin,West,Technology,Phones,1179.44,2,0.07,200.5
ORD-300238,2024-09-02,Amanda Wilson,East,Furniture,Chairs,696.91,8,0.03,146.35
ORD-300239,2026-02-25,Nancy James,South,Furniture,Bookcases,116.21,10,0.1,16.27
ORD-300240,2025-02-26,Matthew Jarvis,Central,Technology,Phones,485.36,10,0.1,67.95
ORD-300241,2025-09-22,Scott Rogers,East,Technology,Accessories,571.36,3,0.0,137.13
ORD-300242,2025-09-09,Donald Travis,South,Furniture,Bookcases,835.26,7,0.03,175.4
ORD-300243,2026-01-28,Rodney Powers,South,Office Supplies,Paper,1450.77,1,0.07,246.63
ORD-300244,2024-06-02,Lawrence Wolf,South,Office Supplies,Paper,1491.17,10,0.0,357.88
ORD-300245,2025-06-09,Nicolas Little,South,Furniture,Bookcases,1005.84,8,0.0,241.4
ORD-300246,2024-07-08,Shannon Mcgrath,East,Technology,Phones,246.37,2,0.1,34.49
ORD-300247,2023-05-01,Stephen Ramos,East,Office Supplies,Binders,1336.6,10,0.0,320.78
ORD-300248,2024-11-08,Pamela Davis,East,Furniture,Bookcases,282.57,2,0.1,39.56
ORD-300249,2024-11-29,Matthew Frost,Central,Technology,Phones,1380.37,10,0.03,289.88
ORD-300250,2026-03-07,Thomas Harris,West,Furniture,Tables,581.49,8,0.07,98.85
ORD-300251,2024-09-02,Sierra Matthews,South,Furniture,Bookcases,1217.59,7,0.07,206.99
ORD-300252,2023-09-14,Thomas Strong,Central,Office Supplies,Storage,1051.87,6,0.1,147.26
ORD-300253,2023-11-03,Dr. Amanda Clark,East,Furniture,Bookcases,1270.04,6,0.0,304.81
ORD-300254,2023-08-28,Angelica Richardson,Central,Office Supplies,Paper,893.29,2,0.1,125.06
ORD-300255,2024-01-04,Clarence Miles,West,Furniture,Bookcases,755.78,7,0.07,128.48
ORD-300256,2023-08-10,Danielle Cabrera,Central,Office Supplies,Storage,409.21,1,0.0,98.21
ORD-300257,2025-10-14,Jennifer Mayo,East,Office Supplies,Binders,987.79,8,0.03,207.44
ORD-300258,2025-08-21,Rachel Johnson,West,Furniture,Chairs,712.61,6,0.03,149.65
ORD-300259,2024-11-08,Edgar Haney,West,Office Supplies,Storage,1325.79,3,0.0,318.19
ORD-300260,2024-09-04,William Brown,West,Furniture,Chairs,357.34,9,0.07,60.75
ORD-300261,2023-11-12,Carla Lamb,East,Furniture,Tables,489.16,7,0.03,102.72
ORD-300262,2026-04-04,William Lucas,East,Furniture,Tables,90.03,4,0.07,15.31
ORD-300263,2025-05-03,Aaron Hayes,South,Technology,Phones,178.49,7,0.07,30.34
ORD-300264,2024-03-13,Connor Fischer,South,Technology,Phones,602.47,10,0.03,126.52
ORD-300265,2023-12-03,Amy Burns,South,Technology,Copiers,1191.99,7,0.1,166.88
ORD-300266,2024-06-04,Daniel Meza,West,Furniture,Chairs,834.38,5,0.1,116.81
ORD-300267,2023-08-04,Eugene Clark,West,Furniture,Tables,1120.29,10,0.1,156.84
ORD-300268,2026-03-14,Jennifer Dougherty,South,Office Supplies,Storage,96.87,9,0.1,13.56
ORD-300269,2024-07-05,James Gardner,South,Technology,Phones,242.02,1,0.07,41.14
ORD-300270,2026-01-12,Carolyn Glenn,West,Technology,Copiers,1423.95,5,0.07,242.07
ORD-300271,2025-05-26,Dr. Glenn Bowman,East,Furniture,Tables,783.3,6,0.03,164.49
ORD-300272,2026-01-18,Steven Harris,Central,Office Supplies,Storage,168.14,10,0.1,23.54
ORD-300273,2025-11-22,Laura Clark,West,Technology,Phones,573.85,9,0.03,120.51
ORD-300274,2023-10-28,Michael Flores,East,Office Supplies,Storage,968.99,7,0.07,164.73
ORD-300275,2024-07-29,Lucas Neal,East,Technology,Accessories,612.35,5,0.1,85.73
ORD-300276,2023-08-14,Michael Obrien,East,Office Supplies,Binders,1161.01,1,0.0,278.64
ORD-300277,2025-03-06,Jason Fox,South,Technology,Copiers,1368.97,8,0.1,191.66
ORD-300278,2024-02-14,Nathan Crawford,South,Technology,Phones,671.71,3,0.0,161.21
ORD-300279,2024-04-03,Brandon Miller,West,Office Supplies,Binders,1001.66,6,0.07,170.28
ORD-300280,2024-03-31,Derek Riley,Central,Furniture,Chairs,257.96,4,0.0,61.91
ORD-300281,2026-02-23,Susan Ray,South,Furniture,Chairs,925.07,7,0.07,157.26
ORD-300282,2023-10-17,Leslie Davis,South,Office Supplies,Binders,146.75,5,0.0,35.22
ORD-300283,2025-03-12,Raymond Garrett,East,Furniture,Chairs,881.61,4,0.07,149.87
